Price,Year,Mileage,City,State,Vin,Make,Model
28999,2014,119,Cary, NC,1ZVBP8FF8E5207287,Ford,MustangConvertible
26994,2014,18940,Apache Junction, AZ,2FMDK3KC6EBB24375,Ford,EdgeLimited
26921,2014,29412,Wake Forest, NC,1FM5K7D83EGB00189,Ford,ExplorerXLT
21477,2014,81455,Southern Pines, NC,1FM5K8D86EGB28140,Ford,ExplorerXLT
24000,2014,63687,Morganton, NC,1FM5K7F81EGA44668,Ford,ExplorerLimited
23990,2014,57725,Wilmington, NC,1FTEW1CMXEFB06470,Ford,F-1502WD
33485,2014,87292,Kernersville, NC,1FTFW1ET2EKD59069,Ford,F-1504WD
45250,2014,84990,Jacksonville, NC,1FT7W2BT1EEA57494,Ford,Super
37900,2014,39404,Southern Pines, NC,1FTFW1ET4EKF54591,Ford,F-1504WD
35888,2014,64858,Eden, NC,1FTFW1ET7EFA60296,Ford,F-1504WD
37981,2014,40734,Lillington, NC,1FTFW1ET3EKE88132,Ford,F-1504WD
38900,2014,29105,Southern Pines, NC,1FTFW1ET1EKD88613,Ford,F-1504WD
38900,2014,33485,Southern Pines, NC,1FTFW1ET9EKF42906,Ford,F-1504WD
49438,2014,44656,Flagstaff, AZ,1FT8W3BT5EEB75414,Ford,Super
46977,2014,64641,Raleigh, NC,1FT7W2BT5EEB06759,Ford,Super
44900,2014,78725,Smithfield, NC,1FT8W3BT8EEB31990,Ford,Super
43880,2014,68912,Canton, NC,1FD0W4HT7EEA03231,Ford,Super
49838,2014,44010,Flagstaff, AZ,1FT8W3DT3EEB07741,Ford,Super
51999,2014,32951,Cary, NC,1FT7W2BT1EEA54059,Ford,Super
39919,2014,37465,Southern Pines, NC,1FTFW1ET4EFA81011,Ford,F-1504WD
52843,2014,18723,Casa Grande, AZ,1FT7W2BT0EEB79053,Ford,Super
41185,2014,74758,Kernersville, NC,1FT7W2BT3EEA70246,Ford,Super
47895,2014,28112,Valdese, NC,1FT7W2BT8EEA19504,Ford,Super
15990,2014,34087,Fayetteville, NC,2HGFB2F91EH544369,Honda,Civic
15854,2014,26433,Charlotte, NC,19XFB2F8XEE079947,Honda,Civic
15688,2014,36096,Peoria, AZ,19XFB2F83EE073780,Honda,Civic
15437,2014,30634,Kingman, AZ,19XFB2F8XEE076918,Honda,Civic
13988,2014,39007,Raleigh, NC,2HGFB2F57EH558399,Honda,Civic
14687,2014,41150,New Bern, NC,19XFB2F87EE071868,Honda,Civic
14950,2014,28749,Burlington, NC,2HGFB2F81EH538028,Honda,Civic
15000,2014,35564,Phoenix, AZ,19XFB2F58EE261412,Honda,Civic
15788,2014,33778,Huntersville, NC,19XFB2F89EE061049,Honda,Civic
13950,2014,42825,Raleigh, NC,19XFB2F88EE076691,Honda,Civic
16400,2014,20216,Gastonia, NC,19XFB2F84EE076297,Honda,Civic
15750,2014,33617,Boone, NC,2HGFB2F82EH556540,Honda,Civic
13985,2014,38415,Wichita, KS,2HGFG3B57EH519695,Honda,Civic
15300,2014,29597,Greensboro, NC,19XFB2F98EE247268,Honda,Civic
9978,2014,79156,Buckeye, AZ,JHMZF1D64ES000278,Honda,CR-ZEX
15000,2014,35364,Merriam, KS,19XFB2F83EE057398,Honda,Civic
13950,2014,48677,Phoenix, AZ,19XFB2F85EE060755,Honda,Civic
13900,2014,62119,Lexington, NC,2HGFB2F55EH517012,Honda,Civic
15555,2014,39185,Phoenix, AZ,2HGFB2F82EH533274,Honda,Civic
15500,2014,29265,Elizabeth City, NC,1HGCR2F37EA275755,Honda,Accord
15750,2014,32388,Forest City, NC,19XFB2F97EE083270,Honda,Civic
14700,2014,43343,Greensboro, NC,19XFB2F91EE021122,Honda,Civic
12499,2014,43797,Wilson, NC,2HGFG3B57EH505571,Honda,Civic
15995,2014,37834,Hickory, NC,2HGFB2F89EH558768,Honda,Civic
16900,2014,28801,Peoria, AZ,19XFB2F87EE081588,Honda,Civic
15300,2014,33691,Elizabeth City, NC,1HGCR2F37EA284407,Honda,Accord
14399,2014,47926,Raleigh, NC,2HGFB2F85EH535410,Honda,Civic
15495,2014,34812,Tucson, AZ,1HGCR2F3XEA136767,Honda,Accord
15995,2014,14182,Fuquay Varina, NC,1HGCR2F3XEA264698,Honda,Accord
14500,2014,32489,Charlotte, NC,1HGCR2F31EA182990,Honda,Accord
17800,2014,23241,Elizabeth City, NC,1HGCR2F57EA150823,Honda,Accord
14233,2014,62886,Hayesville, NC,19XFB2F91EE034453,Honda,Civic
15580,2014,37711,Chandler, AZ,1HGCR2F36EA019462,Honda,Accord
14988,2014,28637,Derby, KS,1HGCR2F35EA257884,Honda,Accord
16900,2014,12473,Gastonia, NC,1HGCR2F34EA034347,Honda,Accord
14499,2014,31278,Lawrence, KS,2HGFG3A85EH504947,Honda,Civic
15400,2014,27259,Phoenix, AZ,2HGFG3B82EH524510,Honda,Civic
15490,2014,24105,Harrisburg, NC,1HGCR2F3XEA162365,Honda,Accord
15930,2014,28773,Salisbury, NC,1HGCR2F31EA213588,Honda,Accord
13995,2014,53352,Valdese, NC,1HGCR2F3XEA249604,Honda,Accord
13987,2014,39232,Wichita, KS,2HGFG3B52EH520253,Honda,Civic
15500,2014,25146,Phoenix, AZ,1HGCR2F3XEA285342,Honda,Accord
15482,2014,32224,Mesa, AZ,1HGCR2F34EA267452,Honda,Accord
12531,2014,73715,Mesa, AZ,2HGFG3B80EH508841,Honda,Civic
15698,2014,33086,Salisbury, NC,1HGCR2F32EA295671,Honda,Accord
14450,2014,38306,Burlington, NC,1HGCR2F35EA165271,Honda,Accord
14500,2014,38409,Greensboro, NC,1HGCR2F3XEA218336,Honda,Accord
